IDADE,OC_IDADE,P_IDADE,IDENT,OC_IDENT,P_IDENT,SEX,OC_SEX,P_SEX,BARBA_IMAGEM,OC_BARBA_IMAGEM,P_BARBA_IMAGEM,FILME,OC_FILME,P_FILME,MUSICA,OC_MUSICA,P_MUSICA,CHORAR,OC_CHORAR,P_CHORAR,CHURRAS,OC_CHURRAS,P_CHURRAS,HOM_VERDADE,OC_HOM_VERDADE,P_HOM_VERDADE,BANHO,OC_BANHO,P_BANHO,APARENCIA,OC_APARENCIA,P_APARENCIA,CREME,OC_CREME,P_CREME,HOM_VAIDOSO,OC_HOM_VAIDOSO,P_HOM_VAIDOSO,PERG_VAIDOSO,OC_PERG_VAIDOSO,P_PERG_VAIDOSO,FAZ_BARBA,OC_FAZ_BARBA,P_FAZ_BARBA,PQ_BARBA,OC_PQ_BARBA,P_PQ_BARBA,PQ_BARBA1,P_PQ_BARBA1,TEMPO,OC_TEMPO,P_TEMPO,FREQ,OC_FREQ,P_FREQ,SIGNIFICADO,OC_SIGNIFICADO,P_SIGNIFICADO,QUEM_COMPRA,OC_QUEM_COMPRA,P_QUEM_COMPRA,ONDE_COMPRA,OC_ONDE_COMPRA,P_ONDE_COMPRA,BARBEADOR,OC_BARBEADOR,P_BARBEADOR,SAIA,OC_SAIA,P_SAIA,TRANS,OC_TRANS,P_TRANS,LGBT_RUA,OC_LGBT_RUA,P_LGBT_RUA,SOCIAL,OC_SOCIAL,P_SOCIAL
17,9,"0,1011235955",Cis,76,"0,8539325843",Hétero,65,"0,7303370787",Opção 1,20,"0,2247191011",Titanic,7,"0,07865168539",Iron Maiden,3,"0,03370786517",Sempre,13,"0,1460674157",Tomar a frente da churrasqueira (carnes),29,"0,3258426966",Pênis,10,"0,1123595506",Um sabonete qualquer,3,"0,03370786517",Sim,88,"0,9887640449",Pasta de dente,89,1,Passar maquiagem,31,"0,3483146067",Sim,61,"0,6853932584",Sim,84,"0,9438202247",Por questões de trabalho,2,"0,02247191011",Por questões de trabalho,"0,02247191011",Menos de 5 minutos,25,"0,2808988764",Todo dia,2,"0,02247191011",Um momento que requer atenção,41,"0,4606741573",Eu mesmo,68,"0,7640449438",Mercado,37,"0,4157303371",Opção 3,5,"0,05617977528",Me sinto incomodado,2,"0,02247191011",Sim,85,"0,9550561798",Não,84,"0,9438202247",Instagram,44,"0,4943820225"
18,21,"0,2359550562",Trans,3,"0,03370786517",Homossexual,3,"0,03370786517",Opção 4,11,"0,1235955056",Clube da Luta,16,"0,1797752809",Pink Floyd,15,"0,1685393258","Quase sempre, mas depende da situação (com quem estou)",33,"0,3707865169","Preparar os acompanhamentos (farofa, vinagrete, arroz etc.)",11,"0,1235955056",Empatia,55,"0,6179775281",Um sabonete específico,0,0,Não,1,"0,01123595506",Creme de barbear,54,"0,606741573",Usar produtos de beleza variados,52,"0,5842696629",Não,28,"0,3146067416",Não,5,"0,05617977528",Prefiro minha aparência com barba,42,"0,4719101124",Por questões de estética,"0,6292134831",Entre 5-10 minutos,30,"0,3370786517",A cada dois dias,8,"0,08988764045",Um momento de prazer,16,"0,1797752809",Mãe,10,"0,1123595506",Atacado,2,"0,02247191011",Opção 1,2,"0,02247191011","Não me incomodo, desde que não se insinue para cima de mim",2,"0,02247191011",Não,4,"0,04494382022","Não, desde que não estejam ""se mostrando demais""",5,"0,05617977528",Facebook,5,"0,05617977528"
19,9,"0,1011235955",Não conheço essas nomenclaturas,9,"0,1011235955",Bissexual,20,"0,2247191011",Opção 3,1,"0,01123595506",Velozes e Furiosos,13,"0,1460674157",Vintage Culture,7,"0,07865168539","Quase nunca, mas depende da situação (com quem estou)",34,"0,3820224719",Observar e curtir o rolê,49,"0,5505617978",Amabilidade,36,"0,404494382",Xampu e sabonete quaisquer,26,"0,2921348315",,,,Protetor solar só quando vai à praia,58,"0,6516853933",Cuidado com a pele,64,"0,7191011236",,,,,,,Barba me incomoda,27,"0,3033707865",Barba me incomoda,"0,3033707865",Entre 10-15 minutos,21,"0,2359550562",2 vezes por semana,16,"0,1797752809",Um momento de auto-cuidado,52,"0,5842696629",Pai,8,"0,08988764045",Farmácia,31,"0,3483146067",Opção,23,"0,2584269663","Não me incomodo, mas acho estranho",16,"0,1797752809",,,,Sim,0,0,Twitter,22,"0,2471910112"
20,11,"0,1235955056",Prefiro não declarar,1,"0,01123595506",Prefiro não declarar,1,"0,01123595506",Opção 5,8,"0,08988764045",Vingadores,23,"0,2584269663",Mandragora,2,"0,02247191011",Nunca,9,"0,1011235955",,,,Se sentir um homem,58,"0,6516853933",Xampu e sabonete específicos,13,"0,1460674157",,,,Protetor solar com frequência,17,"0,191011236",Cuidado com a barba,60,"0,6741573034",,,,,,,Não faço a barba,0,0,,,Entre 15-20 minutos,6,"0,06741573034",1 vez por semana,22,"0,2471910112",Mais uma tarefa corriqueira qualquer,31,"0,3483146067",Irmão,0,0,Internet,11,"0,1235955056",Opção 4,32,"0,3595505618",Não me incomodo,60,"0,6741573034",,,,,,,YouTube,15,"0,1685393258"
21,12,"0,1348314607",,,,,,,Opção 6,19,"0,2134831461",Gente Grande,7,"0,07865168539",Barões da Pisadinha,11,"0,1235955056",,,,,,,Força física,1,"0,01123595506","Xampu, condicionador e sabonete quaisquer",23,"0,2584269663",,,,Cremes hidratantes,40,"0,4494382022",Cuidado com o cabelo,67,"0,7528089888",,,,,,,"Tenho pouca barba, então a melhor opção é tirar.",1,"0,01123595506",,,Entre 20-25 minutos,1,"0,01123595506",1 vez a cada 15 dias,28,"0,3146067416",Uma obrigação,7,"0,07865168539",Companheiro(a),0,0,Loja de eletroeletrônicos,8,"0,08988764045",Opção 5,27,"0,3033707865",Acho revolucionário,9,"0,1011235955",,,,,,,TikTok,3,"0,03370786517"
22,4,"0,04494382022",,,,,,,Opção 7,2,"0,02247191011",Clube dos Cinco,3,"0,03370786517",Chico Buarque,12,"0,1348314607",,,,,,,Barba,0,0,"Xampu, condicionador e sabonete específicos",24,"0,2696629213",,,,,,,Preocupação com estar cheiroso,52,"0,5842696629",,,,,,,Não consigo crescer ela ,1,"0,01123595506",,,Mais de 25 minutos,2,"0,02247191011",1 vez por mês,10,"0,1123595506",Não faço a barba,1,"0,01123595506",Faço no salão,1,"0,01123595506",,,,,,,,,,,,,,,,,,
23,5,"0,05617977528",,,,,,,Opção,1,"0,01123595506",Corra,20,"0,2247191011",Alanis Morissette,1,"0,01123595506",,,,,,,Sensibilidade,38,"0,4269662921",,,,,,,,,,Tomar banho,32,"0,3595505618",,,,,,,Manutenção do tamanho,1,"0,01123595506",,,Não faço a barba,4,"0,04494382022",Não faço a barba,3,"0,03370786517",,,,Barbeiro(a),1,"0,01123595506",,,,,,,,,,,,,,,,,,
24,4,"0,04494382022",,,,,,,Opção 8,4,"0,04494382022",,,,Evanescence,6,"0,06741573034",,,,,,,Capacidade de reproduzir,4,"0,04494382022",,,,,,,,,,,,,,,,,,,"As vezes deixo crescer, as vezes não. Questão de momento",1,"0,01123595506",,,,,,,,,,,,Quem estiver na farmácia,1,"0,01123595506",,,,,,,,,,,,,,,,,,
,,,,,,,,,Opção 9,1,"0,01123595506",,,,MC Poze,1,"0,01123595506",,,,,,,Inteligência emocional,43,"0,4831460674",,,,,,,,,,,,,,,,,,,minha mãe manda,1,"0,01123595506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Opção 10,4,"0,04494382022",,,,Marília Mendonça,8,"0,08988764045",,,,,,,"Gostar de ""coisas de homem""",0,0,,,,,,,,,,,,,,,,,,,fica uma penugem escrota,1,"0,01123595506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
